Dia,Susceptibles,Infectados,Recuperados
0,999704,285,11
1,999280,683,37
2,998646,1266,88
3,997663,2118,219
4,996384,3193,423
5,994775,4468,757
6,992832,5975,1193
7,990450,7786,1764
8,987703,9732,2565
9,984620,11838,3542
10,981179,14070,4751
11,977255,16608,6137
12,972992,19237,7771
13,968447,21892,9661
14,963458,24676,11866
15,958128,27574,14298
16,952410,30425,17165
17,946433,33307,20260
18,940011,36406,23583
19,933277,39526,27197
20,926223,42558,31219
21,918825,45690,35485
22,911151,48773,40076
23,903211,51834,44955
24,894998,54816,50186
25,886360,57938,55702
26,877421,61032,61547
27,868329,63975,67696
28,858896,66941,74163
29,849110,70036,80854
30,839168,72898,87934
31,828937,75863,95200
32,818532,78805,102663
33,808100,81365,110535
34,797245,84130,118625
35,786238,86673,127089
36,775112,89113,135775
37,763745,91595,144660
38,752395,93862,153743
39,740858,96186,162956
40,729232,98121,172647
41,717553,100026,182421
42,705629,101869,192502
43,693805,103509,202686
44,681903,104964,213133
45,670079,106431,223490
46,658068,107769,234163
47,646232,108993,244775
48,634096,110195,255709
49,622062,111198,266740
50,609967,112173,277860
51,598097,112955,288948
52,586191,113514,300295
53,574207,113867,311926
54,562294,114247,323459
55,550239,114740,335021
56,538166,115591,346243
57,525992,116183,357825
58,513947,116659,369394
59,501856,117056,381088
60,489605,117502,392893
61,477330,118019,404651
62,464992,118554,416454
63,452728,119113,428159
64,440613,119444,439943
65,428501,119619,451880
66,416822,119311,463867
67,405079,119281,475640
68,393542,118928,487530
69,382084,118649,499267
70,370629,118279,511092
71,359453,117613,522934
72,348417,116877,534706
73,337451,116141,546408
74,326870,115130,558000
75,316367,114140,569493
76,306057,112887,581056
77,295755,112034,592211
78,285752,110714,603534
79,275867,109722,614411
80,266353,108217,625430
81,257045,106711,636244
82,247962,105049,646989
83,239191,103411,657398
84,230778,101400,667822
85,222553,99575,677872
86,214520,97730,687750
87,206802,95697,697501
88,199284,93658,707058
89,191979,91703,716318
90,184776,89834,725390
91,177773,87829,734398
92,170982,85805,743213
93,164450,83716,751834
94,158039,81570,760391
95,151962,79664,768374
96,146110,77659,776231
97,140494,75566,783940
98,135067,73452,791481
99,129761,71436,798803
100,124671,69380,805949
101,119809,67260,812931
102,115089,65108,819803
103,110563,63240,826197
104,106300,61153,832547
105,102236,59108,838656
106,98239,57113,844648
107,94481,55004,850515
108,90824,53222,855954
109,87265,51528,861207
110,83764,49882,866354
111,80354,48340,871306
112,77092,46853,876055
113,73947,45193,880860
114,70842,43793,885365
115,67948,42332,889720
116,65091,40976,893933
117,62312,39724,897964
118,59552,38507,901941
119,56857,37321,905822
120,54287,36271,909442
121,51813,35208,912979
122,49372,34103,916525
123,46931,33076,919993
124,44600,32108,923292
125,42254,31187,926559
126,39946,30293,929761
127,37751,29432,932817
128,35625,28592,935783
129,33636,27806,938558
130,31644,27004,941352
131,29697,26204,944099
132,27858,25400,946742
133,26145,24518,949337
134,24537,23763,951700
135,22994,22795,954211
136,21607,21819,956574
137,20271,20948,958781
138,18979,20136,960885
139,17757,19291,962952
140,16658,18493,964849
141,15617,17686,966697
142,14635,16964,968401
143,13712,16226,970062
144,12823,15500,971677
145,12032,14762,973206
146,11271,13999,974730
147,10568,13286,976146
148,9921,12671,977408
149,9322,12039,978639
150,8719,11488,979793
151,8125,10867,981008
152,7552,10365,982083
153,7012,9892,983096
154,6459,9471,984070
155,5937,9032,985031
156,5428,8630,985942
157,4935,8274,986791
158,4458,7942,987600
159,3994,7573,988433
160,3582,7233,989185
161,3136,6947,989917
162,2772,6635,990593
163,2458,6307,991235
164,2181,5942,991877
165,1935,5609,992456
166,1726,5271,993003
167,1510,4940,993550
168,1314,4646,994040
169,1142,4337,994521
170,976,4099,994925
171,841,3820,995339
172,720,3541,995739
173,632,3262,996106
174,546,3012,996442
175,467,2782,996751
176,405,2549,997046
177,338,2333,997329
178,285,2145,997570
179,244,1985,997771
180,199,1836,997965
181,165,1670,998165
182,137,1523,998340
183,103,1410,998487
184,81,1286,998633
185,59,1175,998766
186,44,1078,998878
187,31,973,998996
188,23,888,999089
189,17,789,999194
190,16,714,999270
191,15,639,999346
192,14,577,999409
193,14,526,999460
194,14,475,999511
195,14,429,999557
196,14,383,999603
197,14,351,999635
198,14,329,999657
199,14,303,999683
200,14,282,999704
201,14,248,999738
202,14,218,999768
203,14,195,999791
204,14,178,999808
205,14,160,999826
206,14,142,999844
207,14,125,999861
208,14,117,999869
209,14,103,999883
210,14,96,999890
211,14,87,999899
212,14,79,999907
213,14,71,999915
214,14,65,999921
215,14,59,999927
216,14,51,999935
217,14,42,999944
218,14,37,999949
219,14,33,999953
220,14,27,999959
221,14,26,999960
222,14,23,999963
223,14,21,999965
224,14,18,999968
225,14,17,999969
226,14,15,999971
227,14,13,999973
228,14,10,999976
229,14,9,999977
230,14,8,999978
231,14,8,999978
232,14,7,999979
233,14,6,999980
234,14,5,999981
235,14,5,999981
236,14,5,999981
237,14,5,999981
238,14,5,999981
239,14,5,999981
240,14,4,999982
241,14,4,999982
242,14,4,999982
243,14,3,999983
244,14,2,999984
245,14,2,999984
246,14,1,999985
247,14,1,999985
248,14,1,999985
249,14,1,999985
250,14,1,999985
251,14,1,999985
252,14,0,999986
