Dia,Susceptibles,Infectados,Recuperados
0,999699,291,10
1,999297,658,45
2,998623,1256,121
3,997684,2058,258
4,996461,3078,461
5,994919,4309,772
6,992992,5814,1194
7,990779,7398,1823
8,988255,9231,2514
9,985259,11303,3438
10,981929,13475,4596
11,978281,15811,5908
12,974227,18232,7541
13,969909,20796,9295
14,965166,23507,11327
15,960006,26366,13628
16,954524,29249,16227
17,948527,32367,19106
18,942378,35273,22349
19,935799,38267,25934
20,928882,41410,29708
21,921548,44501,33951
22,914002,47677,38321
23,906238,50546,43216
24,898152,53505,48343
25,889717,56496,53787
26,881080,59587,59333
27,872050,62723,65227
28,862842,65731,71427
29,853229,68815,77956
30,843464,71698,84838
31,833344,74639,92017
32,823055,77394,99551
33,812575,80114,107311
34,801951,82643,115406
35,790945,85495,123560
36,779788,88136,132076
37,768451,90647,140902
38,757014,92811,150175
39,745504,95207,159289
40,733855,97311,168834
41,721916,99643,178441
42,709893,101685,188422
43,697764,103664,198572
44,685693,105368,208939
45,673430,107117,219453
46,661181,108740,230079
47,649016,110060,240924
48,636783,111118,252099
49,624349,112274,263377
50,611857,113477,274666
51,599389,114615,285996
52,587133,115470,297397
53,574996,115979,309025
54,562696,116732,320572
55,550464,117388,332148
56,538192,117959,343849
57,525929,118364,355707
58,513655,118662,367683
59,501364,118975,379661
60,488962,119487,391551
61,476667,119726,403607
62,464235,120189,415576
63,452006,120374,427620
64,439970,120320,439710
65,427887,120437,451676
66,416133,120311,463556
67,404358,120019,475623
68,392681,119720,487599
69,381221,119201,499578
70,369821,118648,511531
71,358620,117938,523442
72,347605,117213,535182
73,336821,116165,547014
74,326032,115248,558720
75,315427,114281,570292
76,304999,113250,581751
77,294600,112385,593015
78,284615,111084,604301
79,274940,109571,615489
80,265342,108233,626425
81,256099,106601,637300
82,247044,104975,647981
83,238430,103003,658567
84,229963,101118,668919
85,221673,99280,679047
86,213613,97502,688885
87,205788,95578,698634
88,198181,93595,708224
89,190773,91753,717474
90,183374,89860,726766
91,176284,87997,735719
92,169307,86043,744650
93,162712,84015,753273
94,156166,82149,761685
95,149967,80015,770018
96,144028,78035,777937
97,138254,76075,785671
98,132715,73897,793388
99,127473,71662,800865
100,122601,69555,807844
101,117970,67233,814797
102,113485,65019,821496
103,109254,62691,828055
104,105190,60550,834260
105,101177,58484,840339
106,97312,56603,846085
107,93732,54533,851735
108,90159,52735,857106
109,86659,50976,862365
110,83269,49130,867601
111,79935,47586,872479
112,76768,45981,877251
113,73658,44453,881889
114,70642,43120,886238
115,67661,41917,890422
116,64765,40537,894698
117,61992,39194,898814
118,59229,38063,902708
119,56536,37023,906441
120,53908,35940,910152
121,51335,34920,913745
122,48897,33783,917320
123,46447,32853,920700
124,44038,31975,923987
125,41650,31148,927202
126,39409,30329,930262
127,37244,29442,933314
128,35138,28633,936229
129,33202,27690,939108
130,31336,26807,941857
131,29595,25955,944450
132,27827,25176,946997
133,26187,24362,949451
134,24601,23475,951924
135,23134,22611,954255
136,21749,21757,956494
137,20408,21012,958580
138,19105,20216,960679
139,17893,19448,962659
140,16749,18649,964602
141,15661,17848,966491
142,14665,17088,968247
143,13761,16276,969963
144,12949,15468,971583
145,12130,14727,973143
146,11290,14076,974634
147,10578,13419,976003
148,9876,12777,977347
149,9231,12139,978630
150,8639,11511,979850
151,7999,10997,981004
152,7378,10491,982131
153,6817,10001,983182
154,6281,9535,984184
155,5736,9160,985104
156,5258,8763,985979
157,4792,8350,986858
158,4336,7953,987711
159,3889,7676,988435
160,3481,7306,989213
161,3108,6974,989918
162,2759,6602,990639
163,2453,6220,991327
164,2195,5873,991932
165,1966,5531,992503
166,1744,5175,993081
167,1518,4908,993574
168,1322,4615,994063
169,1146,4292,994562
170,984,3997,995019
171,834,3755,995411
172,689,3518,995793
173,565,3311,996124
174,467,3060,996473
175,386,2843,996771
176,329,2617,997054
177,284,2373,997343
178,241,2171,997588
179,203,2009,997788
180,171,1836,997993
181,135,1704,998161
182,102,1546,998352
183,73,1414,998513
184,51,1285,998664
185,36,1186,998778
186,23,1088,998889
187,16,985,998999
188,12,871,999117
189,10,800,999190
190,10,714,999276
191,10,634,999356
192,10,579,999411
193,10,513,999477
194,10,450,999540
195,9,408,999583
196,9,371,999620
197,9,327,999664
198,9,294,999697
199,9,266,999725
200,9,234,999757
201,9,214,999777
202,9,190,999801
203,9,178,999813
204,9,155,999836
205,9,142,999849
206,9,129,999862
207,9,118,999873
208,9,104,999887
209,9,99,999892
210,9,85,999906
211,9,72,999919
212,9,64,999927
213,9,59,999932
214,9,58,999933
215,9,46,999945
216,9,39,999952
217,9,35,999956
218,9,32,999959
219,9,31,999960
220,9,28,999963
221,9,25,999966
222,9,23,999968
223,9,22,999969
224,9,21,999970
225,9,20,999971
226,9,15,999976
227,9,14,999977
228,9,12,999979
229,9,12,999979
230,9,11,999980
231,9,11,999980
232,9,7,999984
233,9,7,999984
234,9,6,999985
235,9,3,999988
236,9,3,999988
237,9,3,999988
238,9,3,999988
239,9,3,999988
240,9,2,999989
241,9,2,999989
242,9,2,999989
243,9,2,999989
244,9,2,999989
245,9,2,999989
246,9,2,999989
247,9,1,999990
248,9,1,999990
249,9,0,999991
